단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,,건축년도,도로명,매칭 구,건설수주_건축(단위 백만원),건설수주_주택(단위 백만원),매매가격지수(아파트),경상수지(백만불),무역수지(백만불),대출금액(아파트)(억원),대출잔액(아파트)(억원),서울_신규_분양세대(단위: 세대),아파트 동(호)수_(단위: 호),아파트 건물면적_(천),생산자물가지수 총지수 ,전규모(1인이상) 전체임금총액[원],소비자물가지수 총지수 ,"소비자물가지수 주택, 수도, 전기 및 연료",가계대출 (연리%),경기종합지수(2020=100),경제활동인구_ 실업률(단위: %),경제활동인구_고용률(단위: %),경제활동인구_취업자(단위: 천명),국제 주요국 주가지수(KOSPI),예금은행 대출금리(신규취급액 기준)_대출평균(연%),예금은행 대출금리(잔액 기준)_총대출(연리%),주택매매가격지수(KB)_서울,소비자물가지수_총지수(가중치:1000?),"원화의 대미달러, 원화의 대위안/대엔 환율(원/달러(종가)_원",경기종합지수,S&P 500_close,S&P 500_change_rate,NASDAQ_close,NASDAQ_change_rate,DOW Jones_close,DOW Jones_change_rate,KRX300_close,KRX300_change_rate,KOSPI_close,KOSPI_change_rate,KOSDAQ_close,KOSDAQ_change_rate,평당가
석관래미안,59.9,202006,14,"65,800",2,,2009,화랑로,노원구,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3104.660933,0.063382625,9839.971325,0.080643931,26062.27015,0.073801952,1294.84,4.59,2108.33,3.88,737.97,3.4,3625.041736
석관래미안,59.9,202006,19,"63,000",5,,2009,화랑로,노원구,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3104.660933,0.063382625,9839.971325,0.080643931,26062.27015,0.073801952,1294.84,4.59,2108.33,3.88,737.97,3.4,3470.784641
석관래미안,59.9,202006,24,"67,900",2,,2009,화랑로,노원구,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3104.660933,0.063382625,9839.971325,0.080643931,26062.27015,0.073801952,1294.84,4.59,2108.33,3.88,737.97,3.4,3740.734558
석관래미안,59.9,202006,24,"68,000",3,,2009,화랑로,노원구,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3104.660933,0.063382625,9839.971325,0.080643931,26062.27015,0.073801952,1294.84,4.59,2108.33,3.88,737.97,3.4,3746.24374
석관래미안,84.84,202007,2,"83,000",8,,2009,화랑로,노원구,"11,356,788","8,224,240",95.3,"7,226","3,936","15,551.16","12,769.83","10,807",16002,1229084.3,102.71,3526470,99.63,98.14,2.62,99.6,4,60.5,"27,106","2,249.37",2.7,2.98,82.943,99.63,"1,198.86",99.6,3207.619096,0.03316245,10499.8627,0.067062328,26385.83088,0.012414909,1387.5,7.16,2249.37,6.69,815.3,10.48,3228.429986
석관래미안,59.9,202007,11,"68,000",2,,2009,화랑로,노원구,"11,356,788","8,224,240",95.3,"7,226","3,936","15,551.16","12,769.83","10,807",16002,1229084.3,102.71,3526470,99.63,98.14,2.62,99.6,4,60.5,"27,106","2,249.37",2.7,2.98,82.943,99.63,"1,198.86",99.6,3207.619096,0.03316245,10499.8627,0.067062328,26385.83088,0.012414909,1387.5,7.16,2249.37,6.69,815.3,10.48,3746.24374
석관래미안,59.9,202007,13,"73,000",9,,2009,화랑로,노원구,"11,356,788","8,224,240",95.3,"7,226","3,936","15,551.16","12,769.83","10,807",16002,1229084.3,102.71,3526470,99.63,98.14,2.62,99.6,4,60.5,"27,106","2,249.37",2.7,2.98,82.943,99.63,"1,198.86",99.6,3207.619096,0.03316245,10499.8627,0.067062328,26385.83088,0.012414909,1387.5,7.16,2249.37,6.69,815.3,10.48,4021.702838
석관래미안,114.97,202007,18,"89,990",6,,2009,화랑로,노원구,"11,356,788","8,224,240",95.3,"7,226","3,936","15,551.16","12,769.83","10,807",16002,1229084.3,102.71,3526470,99.63,98.14,2.62,99.6,4,60.5,"27,106","2,249.37",2.7,2.98,82.943,99.63,"1,198.86",99.6,3207.619096,0.03316245,10499.8627,0.067062328,26385.83088,0.012414909,1387.5,7.16,2249.37,6.69,815.3,10.48,2582.995564
석관래미안,59.9,202007,21,"67,900",2,,2009,화랑로,노원구,"11,356,788","8,224,240",95.3,"7,226","3,936","15,551.16","12,769.83","10,807",16002,1229084.3,102.71,3526470,99.63,98.14,2.62,99.6,4,60.5,"27,106","2,249.37",2.7,2.98,82.943,99.63,"1,198.86",99.6,3207.619096,0.03316245,10499.8627,0.067062328,26385.83088,0.012414909,1387.5,7.16,2249.37,6.69,815.3,10.48,3740.734558
석관래미안,84.84,202007,31,"84,900",16,,2009,화랑로,노원구,"11,356,788","8,224,240",95.3,"7,226","3,936","15,551.16","12,769.83","10,807",16002,1229084.3,102.71,3526470,99.63,98.14,2.62,99.6,4,60.5,"27,106","2,249.37",2.7,2.98,82.943,99.63,"1,198.86",99.6,3207.619096,0.03316245,10499.8627,0.067062328,26385.83088,0.012414909,1387.5,7.16,2249.37,6.69,815.3,10.48,3302.333805
