단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,건설수주_건축(단위 백만원),건설수주_주택(단위 백만원),매매가격지수(아파트),경상수지(백만불),무역수지(백만불),대출금액(아파트)(억원),대출잔액(아파트)(억원),서울_신규_분양세대(단위: 세대),아파트 동(호)수_(단위: 호),아파트 건물면적_(천),생산자물가지수 총지수 ,전규모(1인이상) 전체임금총액[원],소비자물가지수 총지수 ,"소비자물가지수 주택, 수도, 전기 및 연료",가계대출 (연리%),경기종합지수(2020=100),경제활동인구_ 실업률(단위: %),경제활동인구_고용률(단위: %),경제활동인구_취업자(단위: 천명),국제 주요국 주가지수(KOSPI),예금은행 대출금리(신규취급액 기준)_대출평균(연%),예금은행 대출금리(잔액 기준)_총대출(연리%),주택매매가격지수(KB)_서울,소비자물가지수_총지수(가중치:1000?),"원화의 대미달러, 원화의 대위안/대엔 환율(원/달러(종가)_원",경기종합지수,평당가
래미안트리베라1단지,59.6,202006,5,"65,000",1,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3605.307886
래미안트리베라1단지,114.98,202006,6,"86,000",2,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,2472.586015
래미안트리베라1단지,84.97,202006,8,"76,300",4,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,2968.48037
래미안트리베라1단지,84.97,202006,13,"73,500",3,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,2859.54531
래미안트리베라1단지,59.6,202006,13,"66,000",15,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3660.774161
래미안트리베라1단지,59.6,202006,15,"67,800",3,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3760.613456
래미안트리베라1단지,84.97,202006,15,"76,000",6,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,2956.808756
래미안트리베라1단지,84.97,202006,15,"80,500",7,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3131.882959
래미안트리베라1단지,59.6,202006,15,"65,000",1,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3605.307886
래미안트리베라1단지,84.97,202006,16,"79,000",18,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3073.524891
래미안트리베라1단지,114.98,202006,16,"88,000",5,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,2530.088015
래미안트리베라1단지,114.98,202006,20,"90,000",19,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,2587.590016
래미안트리베라1단지,59.6,202006,20,"68,000",13,2010,삼양로19길 25,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3771.706711
